image_id,local_path,style,style_id,artist,artist_id,genre,genre_id
0,Abstract_Expressionism/salvador-dali_arabs-1.jpg,Abstract_Expressionism,0,salvador-dali,21,abstract_painting,0
1,Abstract_Expressionism/salvador-dali_arabs-the-death-of-raimundus-lullus.jpg,Abstract_Expressionism,0,salvador-dali,21,abstract_painting,0
2,Abstract_Expressionism/salvador-dali_arabs-the-death-of-raymond-lulle.jpg,Abstract_Expressionism,0,salvador-dali,21,abstract_painting,0
3,Abstract_Expressionism/salvador-dali_arabs.jpg,Abstract_Expressionism,0,salvador-dali,21,abstract_painting,0
4,Abstract_Expressionism/salvador-dali_christ-from-the-apocalypse-of-st-john.jpg,Abstract_Expressionism,0,salvador-dali,21,religious_painting,7
5,Abstract_Expressionism/salvador-dali_homage-to-meirronier.jpg,Abstract_Expressionism,0,salvador-dali,21,landscape,4
6,Abstract_Expressionism/salvador-dali_leda-s-swan-leda-and-the-swan.jpg,Abstract_Expressionism,0,salvador-dali,21,genre_painting,2
7,Abstract_Expressionism/salvador-dali_night-in-the-hotel-abstract-in-black-and-white.jpg,Abstract_Expressionism,0,salvador-dali,21,abstract_painting,0
8,Abstract_Expressionism/salvador-dali_portrait-of-st-jerome.jpg,Abstract_Expressionism,0,salvador-dali,21,religious_painting,7
9,Abstract_Expressionism/salvador-dali_religious-scene-in-particles.jpg,Abstract_Expressionism,0,salvador-dali,21,religious_painting,7
10,Abstract_Expressionism/salvador-dali_study-for-christ-of-st-john-of-the-cross-1951.jpg,Abstract_Expressionism,0,salvador-dali,21,sketch_and_study,8
11,Abstract_Expressionism/salvador-dali_study-for-deoxyribonucleic-acid-arabs-1.jpg,Abstract_Expressionism,0,salvador-dali,21,sketch_and_study,8
12,Abstract_Expressionism/salvador-dali_the-infanta-standing-woman.jpg,Abstract_Expressionism,0,salvador-dali,21,portrait,6
13,Abstract_Expressionism/salvador-dali_the-pool-of-tears.jpg,Abstract_Expressionism,0,salvador-dali,21,illustration,3
14,Analytical_Cubism/pablo-picasso_a-glass-1911.jpg,Analytical_Cubism,2,pablo-picasso,15,still_life,9
15,Analytical_Cubism/pablo-picasso_bathers-drying-themselves-1909.jpg,Analytical_Cubism,2,pablo-picasso,15,genre_painting,2
16,Analytical_Cubism/pablo-picasso_bathers-in-the-forest-1908.jpg,Analytical_Cubism,2,pablo-picasso,15,genre_painting,2
17,Analytical_Cubism/pablo-picasso_bathing-1908.jpg,Analytical_Cubism,2,pablo-picasso,15,genre_painting,2
18,Analytical_Cubism/pablo-picasso_bread-and-dish-with-fruits-on-the-table.jpg,Analytical_Cubism,2,pablo-picasso,15,still_life,9
19,Analytical_Cubism/pablo-picasso_clarinet-1911.jpg,Analytical_Cubism,2,pablo-picasso,15,still_life,9
20,Analytical_Cubism/pablo-picasso_clarinetist.jpg,Analytical_Cubism,2,pablo-picasso,15,genre_painting,2
21,Analytical_Cubism/pablo-picasso_dance-of-the-veils-1907.jpg,Analytical_Cubism,2,pablo-picasso,15,genre_painting,2
22,Analytical_Cubism/pablo-picasso_female-nude.jpg,Analytical_Cubism,2,pablo-picasso,15,nude_painting,5
23,Analytical_Cubism/pablo-picasso_friendship-1908.jpg,Analytical_Cubism,2,pablo-picasso,15,genre_painting,2
24,Analytical_Cubism/pablo-picasso_girl-with-mandolin-fanny-tellier-1910.jpg,Analytical_Cubism,2,pablo-picasso,15,genre_painting,2
25,Analytical_Cubism/pablo-picasso_guitar-and-violin.jpg,Analytical_Cubism,2,pablo-picasso,15,still_life,9
26,Analytical_Cubism/pablo-picasso_guitar-player-1910.jpg,Analytical_Cubism,2,pablo-picasso,15,genre_painting,2
27,Analytical_Cubism/pablo-picasso_harlequin-leaning-1909.jpg,Analytical_Cubism,2,pablo-picasso,15,portrait,6
28,Analytical_Cubism/pablo-picasso_harlequin-s-family-1908.jpg,Analytical_Cubism,2,pablo-picasso,15,genre_painting,2
29,Analytical_Cubism/pablo-picasso_harlequinesque-personage-1913.jpg,Analytical_Cubism,2,pablo-picasso,15,genre_painting,2
30,Analytical_Cubism/pablo-picasso_houses-on-the-hill-1909.jpg,Analytical_Cubism,2,pablo-picasso,15,landscape,4
31,Analytical_Cubism/pablo-picasso_jug-and-fruit-dish-1908.jpg,Analytical_Cubism,2,pablo-picasso,15,still_life,9
32,Analytical_Cubism/pablo-picasso_landscape-with-posters-1912.jpg,Analytical_Cubism,2,pablo-picasso,15,still_life,9
33,Analytical_Cubism/pablo-picasso_man-with-a-guitar-1911-1.jpg,Analytical_Cubism,2,pablo-picasso,15,genre_painting,2
34,Analytical_Cubism/pablo-picasso_man-with-a-guitar-1911.jpg,Analytical_Cubism,2,pablo-picasso,15,genre_painting,2
35,Analytical_Cubism/pablo-picasso_man-with-guitar-1912.jpg,Analytical_Cubism,2,pablo-picasso,15,genre_painting,2
36,Analytical_Cubism/pablo-picasso_my-beautiful-woman-with-guitar-1912.jpg,Analytical_Cubism,2,pablo-picasso,15,genre_painting,2
